ProviderNamespace;ResourceType;ModuleDisplayName;ModuleName;ModuleStatus;RepoURL;RegistryURL;TelemetryIdPrefix;PrimaryModuleOwnerGHHandle;PrimaryModuleOwnerDisplayName;ModuleOwnerGHTeam;Description
Microsoft.Authorization;policyAssignments;Policy Assignments (All scopes);avm-res-authorization-policyassignment;Migrate From CARML;;;46d3xbcp.res.authorization-policyassignment;elanzel;Elisa Anzelmo;;
Microsoft.Authorization;policyDefinitions;Policy Definitions (All scopes);avm-res-authorization-policydefinition;Migrate From CARML;;;46d3xbcp.res.authorization-policydefinition;elanzel;Elisa Anzelmo;;
Microsoft.Authorization;policyExemptions;Policy Exemptions (All scopes);avm-res-authorization-policyexemption;Migrate From CARML;;;46d3xbcp.res.authorization-policyexemption;elanzel;Elisa Anzelmo;;
Microsoft.Authorization;policySetDefinitions;Policy Set Definitions (Initiatives) (All scopes);avm-res-authorization-policysetdefinition;Migrate From CARML;;;46d3xbcp.res.authorization-policysetdefinition;elanzel;Elisa Anzelmo;;
Microsoft.AppConfiguration;configurationStores;App Configuration Stores;avm-res-appconfiguration-configurationstore;Migrate From CARML;;;46d3xbcp.res.appconfiguration-configurationstore;elbatane;Elena Batanero;;
Microsoft.EventHub;namespaces;Event Hub Namespaces;avm-res-eventhub-namespace;Migrate From CARML;;;46d3xbcp.res.eventhub-namespace;elbatane;Elena Batanero;;
Microsoft.Network;virtualNetworkGateways;Virtual Networks;avm-res-network-virtualnetworkgateway;Migrate From CARML;;;46d3xbcp.res.network-virtualnetworkgateway;elbatane;Elena Batanero;;
Microsoft.Cdn;profiles;CDN Profiles;avm-res-cdn-profile;Migrate From CARML;;;46d3xbcp.res.cdn-profile;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Compute;sshPublicKeys;Public SSH Keys;avm-res-compute-sshpublickey;Migrate From CARML;;;46d3xbcp.res.compute-sshpublickey;ChrisSidebotham;Chris Sidebotham;;
Microsoft.DigitalTwins;digitalTwinsInstances;Digital Twins Instances;avm-res-digitaltwins-digitaltwinsinstance;Migrate From CARML;;;46d3xbcp.res.digitaltwins-digitaltwinsinstance;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Network;dnsForwardingRulesets;Dns Forwarding Rulesets;avm-res-network-dnsforwardingruleset;Migrate From CARML;;;46d3xbcp.res.network-dnsforwardingruleset;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Network;dnsResolvers;DNS Resolvers;avm-res-network-dnsresolver;Migrate From CARML;;;46d3xbcp.res.network-dnsresolver;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Network;dnsZones;Public DNS Zones;avm-res-network-dnszone;Migrate From CARML;;;46d3xbcp.res.network-dnszone;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Network;privateDnsZones;Private DNS Zones;avm-res-network-privatednszone;Migrate From CARML;;;46d3xbcp.res.network-privatednszone;ChrisSidebotham;Chris Sidebotham;;
Microsoft.PowerBIDedicated;capacities;Power BI Dedicated Capacities;avm-res-powerbidedicated-capacity;Migrate From CARML;;;46d3xbcp.res.powerbidedicated-capacity;ChrisSidebotham;Chris Sidebotham;;
Microsoft.ServiceBus;namespaces;Service Bus Namespaces;avm-res-servicebus-namespace;Migrate From CARML;;;46d3xbcp.res.servicebus-namespace;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Web;staticSites;Static Web Apps;avm-res-web-staticsite;Migrate From CARML;;;46d3xbcp.res.web-staticsite;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Web;serverfarms;App Service Plans;avm-res-web-serverfarm;Migrate From CARML;;;46d3xbcp.res.web-serverfarm;;Buddy Davies;;
Microsoft.Web;sites;Web/Function Apps;avm-res-web-site;Migrate From CARML;;;46d3xbcp.res.web-site;;Buddy Davies;;
Microsoft.Authorization;locks;Authorization Locks (All scopes);avm-res-authorization-lock;Migrate From CARML;;;46d3xbcp.res.authorization-lock;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Authorization;roleAssignmentApprovals;Role Assignments (All scopes);avm-res-authorization-roleassignmentapproval;Migrate From CARML;;;46d3xbcp.res.authorization-roleassignmentapproval;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Authorization;roleDefinitions;Role Definitions (All scopes);avm-res-authorization-roledefinition;Migrate From CARML;;;46d3xbcp.res.authorization-roledefinition;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Compute;availabilitySets;Availability Sets;avm-res-compute-availabilityset;Migrate From CARML;;;46d3xbcp.res.compute-availabilityset;ahmadabdalla;Ahmad Abdalla;;
Microsoft.DevTestLab;labs;DevTest Labs;avm-res-devtestlab-lab;Migrate From CARML;;;46d3xbcp.res.devtestlab-lab;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Insights;privateLinkScopeOperationStatuses;Azure Monitor Private Link Scopes;avm-res-insights-privatelinkscopeoperationstatus;Migrate From CARML;;;46d3xbcp.res.insights-privatelinkscopeopstatus;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Network;ipGroups;IP Groups;avm-res-network-ipgroup;Migrate From CARML;;;46d3xbcp.res.network-ipgroup;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Network;networkManagerConnections;Network Managers;avm-res-network-networkmanagerconnection;Migrate From CARML;;;46d3xbcp.res.network-networkmanagerconnection;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Network;networkSecurityGroups;Network Security Groups;avm-res-network-networksecuritygroup;Migrate From CARML;;;46d3xbcp.res.network-networksecuritygroup;ahmadabdalla;Ahmad Abdalla;;
Microsoft.Network;privateLinkServices;Private Link Services;avm-res-network-privatelinkservice;Migrate From CARML;;;46d3xbcp.res.network-privatelinkservice;ahmadabdalla;Ahmad Abdalla;;
Microsoft.VirtualMachineImages;imageTemplates;Virtual Machine Image Templates;avm-res-virtualmachineimages-imagetemplate;Migrate From CARML;;;46d3xbcp.res.virtualmachineimages-imagetemplate;ahmadabdalla;Ahmad Abdalla;;
Microsoft.AAD;domainServices;Azure Active Directory Domain Services;avm-res-aad-domainservice;Migrate From CARML;;;46d3xbcp.res.aad-domainservice;;;;
Microsoft.AnalysisServices;servers;Analysis Services Servers;avm-res-analysisservices-server;Migrate From CARML;;;46d3xbcp.res.analysisservices-server;;;;
Microsoft.ApiManagement;service;API Management Services;avm-res-apimanagement-service;Migrate From CARML;;;46d3xbcp.res.apimanagement-service;;;;
Microsoft.App;containerApps;Container Apps;avm-res-app-containerapp;Migrate From CARML;;;46d3xbcp.res.app-containerapp;;;;
Microsoft.App;managedEnvironments;App ManagedEnvironments;avm-res-app-managedenvironment;Migrate From CARML;;;46d3xbcp.res.app-managedenvironment;;;;
Microsoft.Automation;automationAccounts;Automation Accounts;avm-res-automation-automationaccount;Migrate From CARML;;;46d3xbcp.res.automation-automationaccount;;;;
Microsoft.Batch;batchAccounts;Batch Accounts;avm-res-batch-batchaccount;Migrate From CARML;;;46d3xbcp.res.batch-batchaccount;;;;
Microsoft.Cache;Redis;Redis Cache;avm-res-cache-redis;Migrate From CARML;;;46d3xbcp.res.cache-redis;;;;
Microsoft.CognitiveServices;accounts;Cognitive Services;avm-res-cognitiveservices-account;Migrate From CARML;;;46d3xbcp.res.cognitiveservices-account;;;;
Microsoft.Compute;diskEncryptionSets;Disk Encryption Sets;avm-res-compute-diskencryptionset;Migrate From CARML;;;46d3xbcp.res.compute-diskencryptionset;;;;
Microsoft.Compute;diskAccesses;Compute Disks;avm-res-compute-diskaccesse;Migrate From CARML;;;46d3xbcp.res.compute-diskaccesse;;;;
Microsoft.Compute;galleries;Azure Compute Galleries;avm-res-compute-gallerie;Migrate From CARML;;;46d3xbcp.res.compute-gallerie;;;;
Microsoft.Compute;images;Images;avm-res-compute-image;Migrate From CARML;;;46d3xbcp.res.compute-image;;;;
Microsoft.Compute;proximityPlacementGroups;Proximity Placement Groups;avm-res-compute-proximityplacementgroup;Migrate From CARML;;;46d3xbcp.res.compute-proximityplacementgroup;;;;
Microsoft.Consumption;budgets;Consumption Budgets;avm-res-consumption-budget;Migrate From CARML;;;46d3xbcp.res.consumption-budget;;;;
Microsoft.DataProtection;backupVaults;Data Protection Backup Vaults;avm-res-dataprotection-backupvault;Migrate From CARML;;;46d3xbcp.res.dataprotection-backupvault;;;;
Microsoft.Databricks;workspaces;Azure Databricks Workspaces;avm-res-databricks-workspace;Migrate From CARML;;;46d3xbcp.res.databricks-workspace;;;;
Microsoft.DBforMySQL;flexibleServers;DBforMySQL Flexible Servers;avm-res-dbformysql-flexibleserver;Migrate From CARML;;;46d3xbcp.res.dbformysql-flexibleserver;;;;
Microsoft.DBforPostgreSQL;flexibleServers;DBforPostgreSQL Flexible Servers;avm-res-dbforpostgresql-flexibleserver;Migrate From CARML;;;46d3xbcp.res.dbforpostgresql-flexibleserver;;;;
Microsoft.DesktopVirtualization;applicationGroups;Azure Virtual Desktop (AVD) Application Groups;avm-res-desktopvirtualization-applicationgroup;Migrate From CARML;;;46d3xbcp.res.desktopvirtualization-appgroup;;;;
Microsoft.DesktopVirtualization;hostPools;Azure Virtual Desktop (AVD) Host Pools;avm-res-desktopvirtualization-hostpool;Migrate From CARML;;;46d3xbcp.res.desktopvirtualization-hostpool;;;;
Microsoft.DesktopVirtualization;scalingPlans;Azure Virtual Desktop (AVD) Scaling Plans;avm-res-desktopvirtualization-scalingplan;Migrate From CARML;;;46d3xbcp.res.desktopvirtualization-scalingplan;;;;
Microsoft.DesktopVirtualization;workspaces;Azure Virtual Desktop (AVD) Workspaces;avm-res-desktopvirtualization-workspace;Migrate From CARML;;;46d3xbcp.res.desktopvirtualization-workspace;;;;
Microsoft.DocumentDB;databaseAccountNames;DocumentDB Database Accounts;avm-res-documentdb-databaseaccountname;Migrate From CARML;;;46d3xbcp.res.documentdb-databaseaccountname;;;;
Microsoft.HealthBot;healthBots;Azure Health Bots;avm-res-healthbot-healthbot;Migrate From CARML;;;46d3xbcp.res.healthbot-healthbot;;;;
Microsoft.HealthcareApis;workspaces;Healthcare API Workspaces;avm-res-healthcareapis-workspace;Migrate From CARML;;;46d3xbcp.res.healthcareapis-workspace;;;;
Microsoft.Insights;activityLogAlerts;Activity Log Alerts;avm-res-insights-activitylogalert;Migrate From CARML;;;46d3xbcp.res.insights-activitylogalert;;;;
Microsoft.Insights;components;Application Insights;avm-res-insights-component;Migrate From CARML;;;46d3xbcp.res.insights-component;;;;
Microsoft.Insights;diagnosticSettings;Diagnostic Settings (Activity Logs) for Azure Subscriptions;avm-res-insights-diagnosticsetting;Migrate From CARML;;;46d3xbcp.res.insights-diagnosticsetting;;;;
Microsoft.Insights;metricAlerts;Metric Alerts;avm-res-insights-metricalert;Migrate From CARML;;;46d3xbcp.res.insights-metricalert;;;;
Microsoft.Insights;scheduledQueryRules;Scheduled Query Rules;avm-res-insights-scheduledqueryrule;Migrate From CARML;;;46d3xbcp.res.insights-scheduledqueryrule;;;;
Microsoft.Insights;webtests;Web Tests;avm-res-insights-webtest;Migrate From CARML;;;46d3xbcp.res.insights-webtest;;;;
Microsoft.KubernetesConfiguration;extensions;Kubernetes Configuration Extensions;avm-res-kubernetesconfiguration-extension;Migrate From CARML;;;46d3xbcp.res.kubernetesconfiguration-extension;;;;
Microsoft.KubernetesConfiguration;fluxConfigurations;Kubernetes Configuration Flux Configurations;avm-res-kubernetesconfiguration-fluxconfiguration;Migrate From CARML;;;46d3xbcp.res.kubernetesconfiguration-fluxconfig;;;;
Microsoft.Logic;workflows;Logic Apps (Workflows);avm-res-logic-workflow;Migrate From CARML;;;46d3xbcp.res.logic-workflow;;;;
Microsoft.MachineLearningServices;workspaces;Machine Learning Services Workspaces;avm-res-machinelearningservices-workspace;Migrate From CARML;;;46d3xbcp.res.machinelearningservices-workspace;;;;
Microsoft.Maintenance;maintenanceConfigurations;Maintenance Configurations;avm-res-maintenance-maintenanceconfiguration;Migrate From CARML;;;46d3xbcp.res.maintenance-maintenanceconfiguration;;;;
Microsoft.ManagedServices;registrationDefinitions;Registration Definitions;avm-res-managedservices-registrationdefinition;Migrate From CARML;;;46d3xbcp.res.managedservices-registrationdef;;;;
Microsoft.NetApp;netAppAccounts;Azure NetApp Files;avm-res-netapp-netappaccount;Migrate From CARML;;;46d3xbcp.res.netapp-netappaccount;;;;
Microsoft.Network;ApplicationGatewayWebApplicationFirewallPolicies;Application Gateway Web Application Firewall (WAF) Policies;avm-res-network-applicationgatewaywebapplicationfirewallpolicy;Migrate From CARML;;;46d3xbcp.res.network-appgwwebappfirewallpolicy;;;;
Microsoft.Network;applicationGatewayAvailableRequestHeaders;Network Application Gateways;avm-res-network-applicationgatewayavailablerequestheader;Migrate From CARML;;;46d3xbcp.res.network-appgwavailablerequestheader;;;;
Microsoft.Network;connections;Virtual Network Gateway Connections;avm-res-network-connection;Migrate From CARML;;;46d3xbcp.res.network-connection;;;;
Microsoft.Network;firewallPolicies;Firewall Policies;avm-res-network-firewallpolicy;Migrate From CARML;;;46d3xbcp.res.network-firewallpolicy;;;;
Microsoft.Network;frontdoorOperationResults;Azure Front Doors;avm-res-network-frontdooroperationresult;Migrate From CARML;;;46d3xbcp.res.network-frontdooroperationresult;;;;
Microsoft.Network;loadBalancers;Load Balancers;avm-res-network-loadbalancer;Migrate From CARML;;;46d3xbcp.res.network-loadbalancer;;;;
Microsoft.Network;localNetworkGateways;Local Network Gateways;avm-res-network-localnetworkgateway;Migrate From CARML;;;46d3xbcp.res.network-localnetworkgateway;;;;
Microsoft.Network;natGateways;NAT Gateways;avm-res-network-natgateway;Migrate From CARML;;;46d3xbcp.res.network-natgateway;;;;
Microsoft.Network;serviceEndpointPolicies;Service Endpoint Policies;avm-res-network-serviceendpointpolicy;Migrate From CARML;;;46d3xbcp.res.network-serviceendpointpolicy;;;;
Microsoft.Network;trafficmanagerprofiles;Traffic Manager Profiles;avm-res-network-trafficmanagerprofile;Migrate From CARML;;;46d3xbcp.res.network-trafficmanagerprofile;;;;
Microsoft.Network;virtualNetworkGateways;Virtual Network Gateways;avm-res-network-virtualnetworkgateway;Migrate From CARML;;;46d3xbcp.res.network-virtualnetworkgateway;;;;
Microsoft.Network;virtualWans;Virtual WANs;avm-res-network-virtualwan;Migrate From CARML;;;46d3xbcp.res.network-virtualwan;;;;
Microsoft.Network;vpnGateways;VPN Gateways;avm-res-network-vpngateway;Migrate From CARML;;;46d3xbcp.res.network-vpngateway;;;;
Microsoft.Network;vpnSites;VPN Sites;avm-res-network-vpnsite;Migrate From CARML;;;46d3xbcp.res.network-vpnsite;;;;
Microsoft.OperationsManagement;solutions;Operations Management Solutions;avm-res-operationsmanagement-solution;Migrate From CARML;;;46d3xbcp.res.operationsmanagement-solution;;;;
Microsoft.PolicyInsights;remediations;Policy Insights Remediations;avm-res-policyinsights-remediation;Migrate From CARML;;;46d3xbcp.res.policyinsights-remediation;;;;
Microsoft.Purview;accounts;Purview Accounts;avm-res-purview-account;Migrate From CARML;;;46d3xbcp.res.purview-account;;;;
