ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Get-Environment,,avm/utl/general/get-environment,Proposed :new:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/utl/general/get-environment,br/public:avm/utl/general/get-environment:X.Y.Z,46d3xbcp.utl.general-getenvironment,alex-frankel,Alex Frankel,,,@Azure/avm-utl-general-getenvironment-module-owners-bicep,@Azure/avm-utl-general-getenvironment-module-contributors-bicep,AVM Utility Module for Get-Environment,,
AVM Common Types,,avm/utl/types/avm-common-types,Available :green_circle:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/utl/types/avm-common-types,br/public:avm/utl/types/avm-common-types:X.Y.Z,46d3xbcp.utl.types-avmcommontypes,AlexanderSehr,Alexander Sehr,,,@Azure/avm-utl-types-avmcommontypes-module-owners-bicep,@Azure/avm-utl-types-avmcommontypes-module-contributors-bicep,AVM Utility Module for AVM Common Types,,2024-10
