ProviderNamespace,ResourceType,ModuleDisplayName,AlternativeNames,ModuleName,ParentModule,ModuleStatus,RepoURL,PublicRegistryReference,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,Description,Comments,FirstPublishedIn
Microsoft.BotService,botServices,Bot Service,,avm-res-botservice-botservice,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-botservice-botservice,https://registry.terraform.io/modules/Azure/avm-res-botservice-botservice/azurerm/latest,ethanjenkins1,Ethan Jenkins,,,AVM Resource Module for Bot Service,,2026-03
Microsoft.Cache,Redis,Redis Cache,,avm-res-cache-redis,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-cache-redis,https://registry.terraform.io/modules/Azure/avm-res-cache-redis/azurerm/latest,jchancellor-ms,Jon Chancellor,,,AVM Resource Module for Redis Cache,,2024-06
Microsoft.Cache,redisEnterprise,Azure Managed Redis,,avm-res-cache-redisenterprise,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-cache-redisenterprise,https://registry.terraform.io/modules/Azure/avm-res-cache-redisenterprise/azurerm/latest,Ankur1106,Ankur Sharma,,,AVM Resource Module for Azure Managed Redis,,2026-02
Microsoft.Cdn,profiles,CDN Profile,,avm-res-cdn-profile,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-cdn-profile,https://registry.terraform.io/modules/Azure/avm-res-cdn-profile/azurerm/latest,Poven795909,Poornima Venkataramanan,didayal-msft,Divyadeep Dayal,AVM Resource Module for CDN Profile,,2024-05
Microsoft.CertificateRegistration,certificateOrders,Certificate Orders,,avm-res-certificateregistration-certificateorder,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-certificateregistration-certificateorder,https://registry.terraform.io/modules/Azure/avm-res-certificateregistration-certificateorder/azurerm/latest,lonegunmanb,Zijie He,,,AVM Resource Module for Certificate Orders,,2025-07
Microsoft.CognitiveServices,accounts,Cognitive Service,,avm-res-cognitiveservices-account,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-cognitiveservices-account,https://registry.terraform.io/modules/Azure/avm-res-cognitiveservices-account/azurerm/latest,lonegunmanb,Zijie He,,,AVM Resource Module for Cognitive Services account ( Open AI),,2024-02
Microsoft.Communication,emailServices,Email Communication Service,,avm-res-communication-emailservice,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-communication-emailservice,https://registry.terraform.io/modules/Azure/avm-res-communication-emailservice/azurerm/latest,lonegunmanb,Zijie He,,,AVM Resource Module for Email Communication Service,,2025-06
Microsoft.Compute,capacityReservationGroups,Capacity Reservation Group,,avm-res-compute-capacityreservationgroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-capacityreservationgroup,https://registry.terraform.io/modules/Azure/avm-res-compute-capacityreservationgroup/azurerm/latest,WenAI2020,Wen Tian,,,AVM Resource Module for Capacity Reservation Group,,2025-08
Microsoft.Compute,disks,Compute Disk,,avm-res-compute-disk,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-disk,https://registry.terraform.io/modules/Azure/avm-res-compute-disk/azurerm/latest,terrymandin,Terry Mandin,,,AVM Resource Module for Compute Disk,,2024-05
Microsoft.Compute,diskEncryptionSets,Disk Encryption Set,,avm-res-compute-diskencryptionset,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-diskencryptionset,https://registry.terraform.io/modules/Azure/avm-res-compute-diskencryptionset/azurerm/latest,Akashc0807,Akash Choudhary,,,AVM Resource Module for Disk Encryption Set,,2024-10
Microsoft.Compute,galleries,Azure Compute Gallery,,avm-res-compute-gallery,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-gallery,https://registry.terraform.io/modules/Azure/avm-res-compute-gallery/azurerm/latest,Akashc0807,Akash Choudhary,,,AVM Resource Module for Azure Compute Gallery,,2024-12
Microsoft.Compute,hostGroups,Host Groups,,avm-res-compute-hostgroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-hostgroup,https://registry.terraform.io/modules/Azure/avm-res-compute-hostgroup/azurerm/latest,WenAI2020,Wen Tian,,,AVM Resource Module for Host Groups,,2024-08
Microsoft.Compute,images,Image,,avm-res-compute-image,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-compute-image,https://registry.terraform.io/modules/Azure/avm-res-compute-image/azurerm/latest,,,,,AVM Resource Module for Image,,
Microsoft.Compute,proximityPlacementGroups,Proximity Placement Group,,avm-res-compute-proximityplacementgroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-proximityplacementgroup,https://registry.terraform.io/modules/Azure/avm-res-compute-proximityplacementgroup/azurerm/latest,fafriha,Farouk Friha,,,AVM Resource Module for Proximity Placement Group,,2024-11
Microsoft.Compute,sshPublicKeys,Public SSH Key,,avm-res-compute-sshpublickey,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-sshpublickey,https://registry.terraform.io/modules/Azure/avm-res-compute-sshpublickey/azurerm/latest,ChrisSidebotham,Chris Sidebotham,,,AVM Resource Module for Public SSH Key,,2024-05
Microsoft.Compute,virtualMachines,Virtual Machine,VM,avm-res-compute-virtualmachine,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-virtualmachine,https://registry.terraform.io/modules/Azure/avm-res-compute-virtualmachine/azurerm/latest,jchancellor-ms,Jon Chancellor,,,AVM Resource Module for Virtual Machine,TFVM location: https://github.com/Azure/terraform-azurerm-compute,2023-11
