ProviderNamespace,ResourceType,ModuleDisplayName,AlternativeNames,ModuleName,ParentModule,ModuleStatus,RepoURL,PublicRegistryReference,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,Description,Comments,FirstPublishedIn
Microsoft.Kusto,clusters,Kusto Clusters,,avm-res-kusto-cluster,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-kusto-cluster,https://registry.terraform.io/modules/Azure/avm-res-kusto-cluster/azurerm/latest,LaurentLesle,Laurent Lesle,,,AVM Resource Module for Kusto Clusters,,2024-04
Microsoft.LoadTestService,loadTests,Load Testing Service,,avm-res-loadtestservice-loadtest,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-loadtestservice-loadtest,https://registry.terraform.io/modules/Azure/avm-res-loadtestservice-loadtest/azurerm/latest,pfayika1,Philippe Fayika,,,AVM Resource Module for Load Testing Service,,
Microsoft.Logic,workflows,Logic Apps (Workflow),,avm-res-logic-workflow,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-logic-workflow,https://registry.terraform.io/modules/Azure/avm-res-logic-workflow/azurerm/latest,bakrish,Bala Krishnamoorthy,,,AVM Resource Module for Logic Apps (Workflow),,2024-06
Microsoft.MachineLearningServices,workspaces,Machine Learning Services Workspace,ML Workspace,avm-res-machinelearningservices-workspace,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-machinelearningservices-workspace,https://registry.terraform.io/modules/Azure/avm-res-machinelearningservices-workspace/azurerm/latest,Nepomuceno,Gabriel Monteiro Nepomuceno,,,AVM Resource Module for Machine Learning Services Workspace,,2024-07
Microsoft.Maintenance,maintenanceConfigurations,Maintenance Configuration,,avm-res-maintenance-maintenanceconfiguration,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-maintenance-maintenanceconfiguration,https://registry.terraform.io/modules/Azure/avm-res-maintenance-maintenanceconfiguration/azurerm/latest,ASHR4,Rhys Ash,,,AVM Resource Module for Maintenance Configuration,,2025-04
Microsoft.ManagedIdentity,userAssignedIdentities,User Assigned Identity,MSI,avm-res-managedidentity-userassignedidentity,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-managedidentity-userassignedidentity,https://registry.terraform.io/modules/Azure/avm-res-managedidentity-userassignedidentity/azurerm/latest,Jfolberth,John Folberth,,,AVM Resource Module for User Assigned Identity,,2024-03
Microsoft.ManagedServices,registrationDefinitions,Registration Definition (Lighthouse),,avm-res-managedservices-registrationdefinition,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-managedservices-registrationdefinition,https://registry.terraform.io/modules/Azure/avm-res-managedservices-registrationdefinition/azurerm/latest,,,,,AVM Resource Module for Registration Definition (Lighthouse),,
Microsoft.Management,managementGroups,Management Group,MG,avm-res-management-managementgroup,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-management-managementgroup,https://registry.terraform.io/modules/Azure/avm-res-management-managementgroup/azurerm/latest,herms14,Hermes Miraflor II,,,AVM Resource Module for Management Group,,
Microsoft.Management,serviceGroups,Management Service Groups,,avm-res-management-servicegroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-management-servicegroup,https://registry.terraform.io/modules/Azure/avm-res-management-servicegroup/azurerm/latest,haflidif,Haflidi Fridthjofsson,,,AVM Resource Module for Management Service Groups,,2025-10
Microsoft.NetApp,netAppAccounts,Azure NetApp File,,avm-res-netapp-netappaccount,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-netapp-netappaccount,https://registry.terraform.io/modules/Azure/avm-res-netapp-netappaccount/azurerm/latest,jtracey93,Jack Tracey,,,AVM Resource Module for Azure NetApp File,,2025-01
Microsoft.Network,applicationGateways,Application Gateway,App GW,avm-res-network-applicationgateway,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-applicationgateway,https://registry.terraform.io/modules/Azure/avm-res-network-applicationgateway/azurerm/latest,mofaizal,Mohamed Faizal,,,AVM Resource Module for Application Gateway,,2024-08
Microsoft.Network,ApplicationGatewayWebApplicationFirewallPolicies,Application Gateway Web Application Firewall (WAF) Policy,,avm-res-network-applicationgatewaywebapplicationfirewallpolicy,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-applicationgatewaywebapplicationfirewallpolicy,https://registry.terraform.io/modules/Azure/avm-res-network-applicationgatewaywebapplicationfirewallpolicy/azurerm/latest,mofaizal,Mohamed Faizal,,,AVM Resource Module for Application Gateway Web Application Firewall (WAF) Policy,,2025-02
Microsoft.Network,applicationSecurityGroups,Application Security Group (ASG),ASG,avm-res-network-applicationsecuritygroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-applicationsecuritygroup,https://registry.terraform.io/modules/Azure/avm-res-network-applicationsecuritygroup/azurerm/latest,MinHeinA,Min Hein Aung,,,AVM Resource Module for Application Security Group (ASG),,2025-01
Microsoft.Network,azureFirewalls,Azure Firewall,Azure FW,avm-res-network-azurefirewall,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-azurefirewall,https://registry.terraform.io/modules/Azure/avm-res-network-azurefirewall/azurerm/latest,vmisson,Vincent Misson,,,AVM Resource Module for Azure Firewall,,2024-01
Microsoft.Network,bastionHosts,Bastion Host,,avm-res-network-bastionhost,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-bastionhost,https://registry.terraform.io/modules/Azure/avm-res-network-bastionhost/azurerm/latest,humanascode,Itamar Hirosh,,,AVM Resource Module for Bastion Host,,2024-02
Microsoft.Network,connections,Virtual Network Gateway Connection,,avm-res-network-connection,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-connection,https://registry.terraform.io/modules/Azure/avm-res-network-connection/azurerm/latest,jchancellor-ms,Jon Chancellor,,,AVM Resource Module for Virtual Network Gateway Connection,,2025-01
Microsoft.Network,ddosProtectionPlans,DDoS Protection,,avm-res-network-ddosprotectionplan,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-ddosprotectionplan,https://registry.terraform.io/modules/Azure/avm-res-network-ddosprotectionplan/azurerm/latest,sitarant,Simona Tarantola,jtracey93,Jack Tracey,AVM Resource Module for DDoS Protection,,2023-11
Microsoft.Network,dnsForwardingRulesets,DNS Forwarding Ruleset,,avm-res-network-dnsforwardingruleset,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-network-dnsforwardingruleset,https://registry.terraform.io/modules/Azure/avm-res-network-dnsforwardingruleset/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for DNS Forwarding Ruleset,,
Microsoft.Network,dnsResolvers,DNS Resolver,,avm-res-network-dnsresolver,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-dnsresolver,https://registry.terraform.io/modules/Azure/avm-res-network-dnsresolver/azurerm/latest,humanascode,Itamar Hirosh,,,AVM Resource Module for DNS Resolver,,2024-05
Microsoft.Network,dnsZones,Public DNS Zone,,avm-res-network-dnszone,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-dnszone,https://registry.terraform.io/modules/Azure/avm-res-network-dnszone/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for Public DNS Zone,,2024-08
Microsoft.Network,expressRouteCircuits,ExpressRoute Circuit,ER,avm-res-network-expressroutecircuit,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-expressroutecircuit,https://registry.terraform.io/modules/Azure/avm-res-network-expressroutecircuit/azurerm/latest,khushal08,Khush Kaviraj,adammontlake,Adam Montlake,AVM Resource Module for ExpressRoute Circuit,,2024-10
Microsoft.Network,firewallPolicies,Azure Firewall Policy,,avm-res-network-firewallpolicy,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-firewallpolicy,https://registry.terraform.io/modules/Azure/avm-res-network-firewallpolicy/azurerm/latest,MinHeinA,Min Hein Aung,,,AVM Resource Module for Azure Firewall Policy,,2024-01
Microsoft.Network,frontDoors,Azure Front Door,,avm-res-network-frontdoor,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-network-frontdoor,https://registry.terraform.io/modules/Azure/avm-res-network-frontdoor/azurerm/latest,,,,,AVM Resource Module for Azure Front Door,,
Microsoft.Network,frontDoorWebApplicationFirewallPolicies,Front Door Web Application Firewall (WAF) Policy,,avm-res-network-frontdoorwebapplicationfirewallpolicy,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-frontdoorwebapplicationfirewallpolicy,https://registry.terraform.io/modules/Azure/avm-res-network-frontdoorwebapplicationfirewallpolicy/azurerm/latest,sihbher,Gerardo Reyes,,,AVM Resource Module for Front Door Web Application Firewall (WAF) Policy,,2024-10
Microsoft.Network,ipGroups,IP Group,,avm-res-network-ipgroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-ipgroup,https://registry.terraform.io/modules/Azure/avm-res-network-ipgroup/azurerm/latest,mathewsg,Mathews George,,,AVM Resource Module for IP Group,,2025-04
Microsoft.Network,loadBalancers,Loadbalancer,,avm-res-network-loadbalancer,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-loadbalancer,https://registry.terraform.io/modules/Azure/avm-res-network-loadbalancer/azurerm/latest,donovm4,Donovan McCoy,,,AVM Resource Module for Loadbalancer,TFVM location: https://github.com/Azure/terraform-azurerm-loadbalancer,2023-11
Microsoft.Network,localNetworkGateways,Local Network Gateway,,avm-res-network-localnetworkgateway,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-localnetworkgateway,https://registry.terraform.io/modules/Azure/avm-res-network-localnetworkgateway/azurerm/latest,Bhavyasree08,Bhavyasree Damarla,,,AVM Resource Module for Local Network Gateway,,2024-11
Microsoft.Network,natGateways,NAT Gateway,,avm-res-network-natgateway,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-natgateway,https://registry.terraform.io/modules/Azure/avm-res-network-natgateway/azurerm/latest,iarik0440,Yarik Simineans,,,AVM Resource Module for NAT Gateway,,2023-12
Microsoft.Network,networkInterfaces,Network Interface,NIC,avm-res-network-networkinterface,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-networkinterface,https://registry.terraform.io/modules/Azure/avm-res-network-networkinterface/azurerm/latest,fafriha,Farouk Friha,,,AVM Resource Module for Network Interface,,2024-11
Microsoft.Network,networkManagers,Azure Virtual Network Manager,,avm-res-network-networkmanager,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-networkmanager,https://registry.terraform.io/modules/Azure/avm-res-network-networkmanager/azurerm/latest,MrRoundRobin,Robin Muller,,,AVM Resource Module for Azure Virtual Network Manager,,2024-01
Microsoft.Network,networkSecurityGroups,Network Security Group,,avm-res-network-networksecuritygroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-networksecuritygroup,https://registry.terraform.io/modules/Azure/avm-res-network-networksecuritygroup/azurerm/latest,maheshbenke,Mahesh Benke,,,AVM Resource Module for Network Security Group,,2024-02
Microsoft.Network,networkSecurityPerimeters,Network Security Perimeter,,avm-res-network-networksecurityperimeter,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-network-networksecurityperimeter,https://registry.terraform.io/modules/Azure/avm-res-network-networksecurityperimeter/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Network Security Perimeter,,
Microsoft.Network,networkWatchers,Azure Network Watcher,,avm-res-network-networkwatcher,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-networkwatcher,https://registry.terraform.io/modules/Azure/avm-res-network-networkwatcher/azurerm/latest,terrymandin,Terry Mandin,,,AVM Resource Module for Azure Network Watcher,,2024-07
Microsoft.Network,privateDnsZones,Private DNS Zone,,avm-res-network-privatednszone,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-privatednszone,https://registry.terraform.io/modules/Azure/avm-res-network-privatednszone/azurerm/latest,MinHeinA,Min Hein Aung,,,AVM Resource Module for Private DNS Zone,,2024-03
Microsoft.Network,privateEndpoints,Private Endpoint,,avm-res-network-privateendpoint,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-privateendpoint,https://registry.terraform.io/modules/Azure/avm-res-network-privateendpoint/azurerm/latest,jaredfholgate,Jared Holgate,,,AVM Resource Module for Private Endpoint,,2024-09
Microsoft.Network,privateLinkServices,Private Link Service,,avm-res-network-privatelinkservice,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-network-privatelinkservice,https://registry.terraform.io/modules/Azure/avm-res-network-privatelinkservice/azurerm/latest,avivshrem,Aviv Shrem,,,AVM Resource Module for Private Link Service,,
Microsoft.Network,publicIPAddresses,Public IP Address,PIP,avm-res-network-publicipaddress,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-publicipaddress,https://registry.terraform.io/modules/Azure/avm-res-network-publicipaddress/azurerm/latest,vmisson,Vincent Misson,,,AVM Resource Module for Public IP Address,,2024-02
Microsoft.Network,publicIPPrefixes,Public IP Prefix,,avm-res-network-publicipprefix,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-publicipprefix,https://registry.terraform.io/modules/Azure/avm-res-network-publicipprefix/azurerm/latest,PmeshramPM,Pankaj Meshram,,,AVM Resource Module for Public IP Prefix,,2025-04
Microsoft.Network,routeTables,Route Table,UDR,avm-res-network-routetable,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-routetable,https://registry.terraform.io/modules/Azure/avm-res-network-routetable/azurerm/latest,adammontlake,Adam Montlake,,,AVM Resource Module for Route Table,,2024-05
Microsoft.Network,serviceEndpointPolicies,Service Endpoint Policy,,avm-res-network-serviceendpointpolicy,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-network-serviceendpointpolicy,https://registry.terraform.io/modules/Azure/avm-res-network-serviceendpointpolicy/azurerm/latest,ASHR4,Rhys Ash,,,AVM Resource Module for Service Endpoint Policy,,
Microsoft.Network,trafficmanagerprofiles,Traffic Manager Profile,,avm-res-network-trafficmanagerprofile,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-trafficmanagerprofile,https://registry.terraform.io/modules/Azure/avm-res-network-trafficmanagerprofile/azurerm/latest,AnubhaR94,Anubha Rana,,,AVM Resource Module for Traffic Manager Profile,,2026-02
Microsoft.Network,virtualNetworks,Virtual Network,VNET,avm-res-network-virtualnetwork,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-network-virtualnetwork,https://registry.terraform.io/modules/Azure/avm-res-network-virtualnetwork/azurerm/latest,jaredfholgate,Jared Holgate,,,AVM Resource Module for Virtual Network,TFVM location : https://github.com/Azure/terraform-azurerm-network,2023-10
Microsoft.Network,virtualNetworkGateways,Virtual Network Gateway,VNET GW,avm-res-network-virtualnetworkgateway,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-network-virtualnetworkgateway,https://registry.terraform.io/modules/Azure/avm-res-network-virtualnetworkgateway/azurerm/latest,,,,,AVM Resource Module for Virtual Network Gateway,,
Microsoft.Network,virtualRouters,Route Server,,avm-res-network-virtualrouter,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-network-virtualrouter,https://registry.terraform.io/modules/Azure/avm-res-network-virtualrouter/azurerm/latest,,,,,AVM Resource Module for Route Server,,
Microsoft.OperationalInsights,workspaces,Log Analytics workspace,,avm-res-operationalinsights-workspace,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-operationalinsights-workspace,https://registry.terraform.io/modules/Azure/avm-res-operationalinsights-workspace/azurerm/latest,iarik0440,Yarik Simineans,,,AVM Resource Module for Log Analytics workspace,,2024-01
Microsoft.OperationsManagement,solutions,Operations Management Solution,,avm-res-operationsmanagement-solution,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-operationsmanagement-solution,https://registry.terraform.io/modules/Azure/avm-res-operationsmanagement-solution/azurerm/latest,,,,,AVM Resource Module for Operations Management Solution,,
Oracle.Database,cloudExadataInfrastructures,Oracle Exadata Infrastructure,,avm-res-oracledatabase-cloudexadatainfrastructure,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-oracledatabase-cloudexadatainfrastructure,https://registry.terraform.io/modules/Azure/avm-res-oracledatabase-cloudexadatainfrastructure/azurerm/latest,sihbher,Gerardo Reyes,terrymandin,Terry Mandin,AVM Resource Module for Oracle Exadata Infrastructure,,2024-09
Oracle.Database,cloudvmclusters,Oracle VM cluster,,avm-res-oracledatabase-cloudvmcluster,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-oracledatabase-cloudvmcluster,https://registry.terraform.io/modules/Azure/avm-res-oracledatabase-cloudvmcluster/azurerm/latest,sihbher,Gerardo Reyes,terrymandin,Terry Mandin,AVM Resource Module for Oracle VM cluster,,2024-09
Microsoft.Portal,dashboards,Azure Portal Dashboard,,avm-res-portal-dashboard,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-portal-dashboard,https://registry.terraform.io/modules/Azure/avm-res-portal-dashboard/azurerm/latest,VeronicaSea,Veronica Xu,,,AVM Resource Module for Azure Portal Dashboard,,2024-09
Microsoft.PowerBIDedicated,capacities,Power BI Dedicated Capacity,,avm-res-powerbidedicated-capacity,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-powerbidedicated-capacity,https://registry.terraform.io/modules/Azure/avm-res-powerbidedicated-capacity/azurerm/latest,,,,,AVM Resource Module for Power BI Dedicated Capacity,,
Microsoft.Purview,accounts,Purview Account,,avm-res-purview-account,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-purview-account,https://registry.terraform.io/modules/Azure/avm-res-purview-account/azurerm/latest,,,,,AVM Resource Module for Purview Account,,
Microsoft.RecoveryServices,vaults,Recovery Services Vault,,avm-res-recoveryservices-vault,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-recoveryservices-vault,https://registry.terraform.io/modules/Azure/avm-res-recoveryservices-vault/azurerm/latest,elsalvos,Cesar Abrego,,,AVM Resource Module for Recovery Services Vault,,2025-01
Microsoft.RedHatOpenShift,openShiftClusters,OpenShift Cluster,,avm-res-redhatopenshift-openshiftcluster,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-redhatopenshift-openshiftcluster,https://registry.terraform.io/modules/Azure/avm-res-redhatopenshift-openshiftcluster/azurerm/latest,ethanjenkins1,Ethan Jenkins,puneetdevadiga,Puneet Devadiga,AVM Resource Module for OpenShift Cluster,,2025-10
Microsoft.Relay,namespaces,Relay Namespace,,avm-res-relay-namespace,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-relay-namespace,https://registry.terraform.io/modules/Azure/avm-res-relay-namespace/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Relay Namespace,,2026-01
Microsoft.ResourceGraph,queries,Resource Graph Query,,avm-res-resourcegraph-query,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-resourcegraph-query,https://registry.terraform.io/modules/Azure/avm-res-resourcegraph-query/azurerm/latest,SJAYAP,S Jayaprakash,,,AVM Resource Module for Resource Graph Query,,2025-04
Microsoft.Resources,features,Resource Features,,avm-res-resources-feature,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-resources-feature,https://registry.terraform.io/modules/Azure/avm-res-resources-feature/azurerm/latest,lonegunmanb,Zijie He,,,AVM Resource Module for Resource Features,,
Microsoft.Resources,resourceGroups,Resource Group,RG,avm-res-resources-resourcegroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-resources-resourcegroup,https://registry.terraform.io/modules/Azure/avm-res-resources-resourcegroup/azurerm/latest,Jfolberth,John Folberth,,,AVM Resource Module for Resource Group,,2024-08
Microsoft.Search,searchServices,Search Service,,avm-res-search-searchservice,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-search-searchservice,https://registry.terraform.io/modules/Azure/avm-res-search-searchservice/azurerm/latest,lestermarch,Lester March,,,AVM Resource Module for Search Service,,2024-08
Microsoft.ServiceBus,namespaces,Service Bus Namespace,,avm-res-servicebus-namespace,n/a,Orphaned,https://github.com/Azure/terraform-azurerm-avm-res-servicebus-namespace,https://registry.terraform.io/modules/Azure/avm-res-servicebus-namespace/azurerm/latest,iarik0440,Yarik Simineans,,,AVM Resource Module for Service Bus Namespace,,2024-04
Microsoft.ServiceFabric,clusters,Service Fabric Cluster,,avm-res-servicefabric-cluster,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-servicefabric-cluster,https://registry.terraform.io/modules/Azure/avm-res-servicefabric-cluster/azurerm/latest,,,,,AVM Resource Module for Service Fabric Cluster,,
Microsoft.ServiceNetworking,trafficControllers,Application Gateway for Containers (Traffic Controller),,avm-res-servicenetworking-trafficcontroller,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-servicenetworking-trafficcontroller,https://registry.terraform.io/modules/Azure/avm-res-servicenetworking-trafficcontroller/azurerm/latest,mofaizal,Mohamed Faizal,,,AVM Resource Module for Application Gateway for Containers (Traffic Controller),,
Microsoft.SignalRService,signalR,SignalR Service SignalR,,avm-res-signalrservice-signalr,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-signalrservice-signalr,https://registry.terraform.io/modules/Azure/avm-res-signalrservice-signalr/azurerm/latest,,,,,AVM Resource Module for SignalR Service SignalR,,
Microsoft.Sql,InstancePools,Instance Pools,,avm-res-sql-instancepool,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-sql-instancepool,https://registry.terraform.io/modules/Azure/avm-res-sql-instancepool/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Instance Pools,,
Microsoft.Sql,managedInstances,SQL Managed Instance,SQL MI,avm-res-sql-managedinstance,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-sql-managedinstance,https://registry.terraform.io/modules/Azure/avm-res-sql-managedinstance/azurerm/latest,chanakanissanka,Chanaka Nissanka,abhishekaryams,Abhishek Arya,AVM Resource Module for SQL Managed Instance,,2024-09
Microsoft.Sql,servers,Azure SQL Server,,avm-res-sql-server,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-sql-server,https://registry.terraform.io/modules/Azure/avm-res-sql-server/azurerm/latest,abhishekaryams,Abhishek Arya,,,AVM Resource Module for Azure SQL Server,,2024-09
Microsoft.SqlVirtualMachine,sqlVirtualMachines,Sql Virtual Machine,SQL VM,avm-res-sqlvirtualmachine-sqlvirtualmachine,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-sqlvirtualmachine-sqlvirtualmachine,https://registry.terraform.io/modules/Azure/avm-res-sqlvirtualmachine-sqlvirtualmachine/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Sql Virtual Machine,,2026-02
Microsoft.Storage,storageAccounts,Storage Account,,avm-res-storage-storageaccount,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-storage-storageaccount,https://registry.terraform.io/modules/Azure/avm-res-storage-storageaccount/azurerm/latest,chinthakaru,Chinthaka Rupasinghe,,,AVM Resource Module for Storage Account,,2024-02
Microsoft.Synapse,workspaces,Synapse Workspace,,avm-res-synapse-workspace,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-synapse-workspace,https://registry.terraform.io/modules/Azure/avm-res-synapse-workspace/azurerm/latest,Karni-G,Karni Gupta,,,AVM Resource Module for Synapse Workspace,,
Microsoft.VirtualMachineImages,imageTemplates,Virtual Machine Image Template,,avm-res-virtualmachineimages-imagetemplate,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-virtualmachineimages-imagetemplate,https://registry.terraform.io/modules/Azure/avm-res-virtualmachineimages-imagetemplate/azurerm/latest,travishankins,Travis Hankins,,,AVM Resource Module for Virtual Machine Image Template,,
Microsoft.Web,connection,API Connection,,avm-res-web-connection,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-web-connection,https://registry.terraform.io/modules/Azure/avm-res-web-connection/azurerm/latest,donovm4,Donovan McCoy,,,AVM Resource Module for API Connection,,2025-11
Microsoft.Web,hostingEnvironments,App Service Environment,ASE,avm-res-web-hostingenvironment,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-web-hostingenvironment,https://registry.terraform.io/modules/Azure/avm-res-web-hostingenvironment/azurerm/latest,ibersanoMS,Isabelle Bersano,,,AVM Resource Module for App Service Environment,,2024-06
Microsoft.Web,serverfarms,App Service Plan,,avm-res-web-serverfarm,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-web-serverfarm,https://registry.terraform.io/modules/Azure/avm-res-web-serverfarm/azurerm/latest,ibersanoMS,Isabelle Bersano,,,AVM Resource Module for App Service Plan,,2024-08
Microsoft.Web,sites,Web/Function App,"App Service, Web Site, Logic App, Function App",avm-res-web-site,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-web-site,https://registry.terraform.io/modules/Azure/avm-res-web-site/azurerm/latest,donovm4,Donovan McCoy,,,AVM Resource Module for Web/Function App,,2024-02
Microsoft.Web,staticSites,Static Web App,,avm-res-web-staticsite,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-web-staticsite,https://registry.terraform.io/modules/Azure/avm-res-web-staticsite/azurerm/latest,donovm4,Donovan McCoy,,,AVM Resource Module for Static Web App,,2024-02
