ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,ModuleDescription,PublicRegistryReference,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,FirstPublishedIn
utl module that helps users to migrate azurerm_orchestrated_virtual_machine_scale_set resource into azapi_resource,,avm-utl-compute-orchestratedvirtualmachinescaleset-azapi-replicator,Proposed,AVM utility Module for utl module that helps users to migrate azurerm_orchestrated_virtual_machine_scale_set resource into azapi_resource,,lonegunmanb,lonegunmanb,,,
AVM Interfaces,,avm-utl-interfaces,Available,AVM utility Module for AVM Interfaces,https://registry.terraform.io/modules/Azure/avm-utl-interfaces/azure/latest,matt-FFFFFF,Matt White,,,2025-01
AVM Naming,,avm-utl-naming,Proposed,AVM utility Module for AVM Naming,,Nepomuceno,Gabriel Monteiro Nepomuceno,,,
AVM Network IP Addresses,IPv4 CIDR,avm-utl-network-ip-addresses,Available,AVM utility Module for AVM Network IP Addresses,https://registry.terraform.io/modules/Azure/avm-utl-network-ip-addresses/azurerm/latest,jaredfholgate,Jared Holgate,,,2025-03
utl module that helps users to migrate azurerm_subnet into azapi_resource,,avm-utl-network-subnet-azapi-replicator,Proposed,AVM utility Module for utl module that helps users to migrate azurerm_subnet into azapi_resource,,lonegunmanb,lonegunmanb,,,
utl module that helps users to migrate azurerm_virtual_network into azapi_resource,,avm-utl-network-virtualnetwork-azapi-replicator,Available,AVM utility Module for utl module that helps users to migrate azurerm_virtual_network into azapi_resource,https://registry.terraform.io/modules/Azure/avm-utl-network-virtualnetwork-azapi-replicator/azure/latest,lonegunmanb,lonegunmanb,,,2026-01
Azure Regions Data,,avm-utl-regions,Available,AVM utility Module for Azure Regions Data,https://registry.terraform.io/modules/Azure/avm-utl-regions/azurerm/latest,matt-FFFFFF,Matt White,,,2024-10
utl module that helps users to migrate azurerm_resource_group into azapi_resource,,avm-utl-resources-resourcegroup-azapi-replicator,Available,AVM utility Module for utl module that helps users to migrate azurerm_resource_group into azapi_resource,https://registry.terraform.io/modules/Azure/avm-utl-resources-resourcegroup-azapi-replicator/azure/latest,lonegunmanb,lonegunmanb,,,2026-01
AVM Utility module for role definitions,,avm-utl-roledefinitions,Available,AVM utility Module for AVM Utility module for role definitions,https://registry.terraform.io/modules/Azure/avm-utl-roledefinitions/azure/latest,matt-FFFFFF,Matt White,,,2025-09
AVM SKU Finder ,Sku,avm-utl-sku-finder,Available,AVM utility Module for AVM SKU Finder ,https://registry.terraform.io/modules/Azure/avm-utl-sku-finder/azapi/latest,jchancellor-ms,Jon Chancellor,,,2024-12
