ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Azure Container Apps (ACA) LZA - Hosting Environment,,avm/ptn/aca-lza/hosting-environment,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/aca-lza/hosting-environment,br/public:avm/ptn/aca-lza/hosting-environment:X.Y.Z,46d3xbcp.ptn.acalza-hostingenvironment,kpantos,Konstantinos Pantos,,,@Azure/avm-ptn-acalza-hostingenvironment-module-owners-bicep,@Azure/avm-ptn-acalza-hostingenvironment-module-contributors-bicep,AVM Pattern Module for Azure Container Apps (ACA) LZA - Hosting Environment,,2024-08
AI-ML - AI Foundry,,avm/ptn/ai-ml/ai-foundry,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/ai-ml/ai-foundry,br/public:avm/ptn/ai-ml/ai-foundry:X.Y.Z,46d3xbcp.ptn.aiml-aifoundry,mswantek68,Mike Swantek,,,@Azure/avm-ptn-aiml-aifoundry-module-owners-bicep,@Azure/avm-ptn-aiml-aifoundry-module-contributors-bicep,AVM Pattern Module for AI-ML - AI Foundry,,2025-07
AI-ML - Landing Zone (LZ),,avm/ptn/ai-ml/landing-zone,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/ai-ml/landing-zone,br/public:avm/ptn/ai-ml/landing-zone:X.Y.Z,46d3xbcp.ptn.aiml-lz,mbilalamjad,Bilal Amjad,,,@Azure/avm-ptn-aiml-landingzone-module-owners-bicep,@Azure/avm-ptn-aiml-landingzone-module-contributors-bicep,AVM Pattern Module for AI-ML - Landing Zone (LZ),,
AI Platform - Baseline,,avm/ptn/ai-platform/baseline,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/ai-platform/baseline,br/public:avm/ptn/ai-platform/baseline:X.Y.Z,46d3xbcp.ptn.aiplatform-baseline,cecheta,Chinedum Echeta,ross-p-smith,Ross Smith,@Azure/avm-ptn-aiplatform-baseline-module-owners-bicep,@Azure/avm-ptn-aiplatform-baseline-module-contributors-bicep,AVM Pattern Module for AI Platform - Baseline,,2024-07
Azure Landing Zones (ALZ) - Azure Monitoring Agent (AMA),,avm/ptn/alz/ama,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/ama,br/public:avm/ptn/alz/ama:X.Y.Z,46d3xbcp.ptn.alz-ama,oZakari,Zach Trocinski,,,@Azure/avm-ptn-alz-ama-module-owners-bicep,@Azure/avm-ptn-alz-ama-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Azure Monitoring Agent (AMA),,
Azure Landing Zones (ALZ) - Decommissioned,,avm/ptn/alz/decommissioned,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/decommissioned,br/public:avm/ptn/alz/decommissioned:X.Y.Z,46d3xbcp.ptn.alz-decommissioned,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-decommissioned-module-owners-bicep,@Azure/avm-ptn-alz-decommissioned-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Decommissioned,,
Azure Landing Zones (ALZ) - Empty,,avm/ptn/alz/empty,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/empty,br/public:avm/ptn/alz/empty:X.Y.Z,46d3xbcp.ptn.alz-empty,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-empty-module-owners-bicep,@Azure/avm-ptn-alz-empty-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Empty,,2025-04
Azure Landing Zones (ALZ) - Intermediate Root,,avm/ptn/alz/int-root,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/int-root,br/public:avm/ptn/alz/int-root:X.Y.Z,46d3xbcp.ptn.int-root,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-introot-module-owners-bicep,@Azure/avm-ptn-alz-introot-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Intermediate Root,,
Azure Landing Zones (ALZ) - Landing Zones,,avm/ptn/alz/landing-zones,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/landing-zones,br/public:avm/ptn/alz/landing-zones:X.Y.Z,46d3xbcp.ptn.alz-landingzones,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-landingzones-module-owners-bicep,@Azure/avm-ptn-alz-landingzones-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Landing Zones,,
Azure Landing Zones (ALZ) - Landing Zones Corp,,avm/ptn/alz/landing-zones-corp,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/landing-zones-corp,br/public:avm/ptn/alz/landing-zones-corp:X.Y.Z,46d3xbcp.ptn.alz-landingzonescorp,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-landingzonescorp-module-owners-bicep,@Azure/avm-ptn-alz-landingzonescorp-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Landing Zones Corp,,
Azure Landing Zones (ALZ) - Landing Zones Online,,avm/ptn/alz/landing-zones-online,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/landing-zones-online,br/public:avm/ptn/alz/landing-zones-online:X.Y.Z,46d3xbcp.ptn.alz-landingzonesonline,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-landingzonesonline-module-owners-bicep,@Azure/avm-ptn-alz-landingzonesonline-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Landing Zones Online,,
Azure Landing Zones (ALZ) - Platform,,avm/ptn/alz/platform,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/platform,br/public:avm/ptn/alz/platform:X.Y.Z,46d3xbcp.ptn.alz-platform,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-platform-module-owners-bicep,@Azure/avm-ptn-alz-platform-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Platform,,
Azure Landing Zones (ALZ) - Platform Connectivity,,avm/ptn/alz/platform-connectivity,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/platform-connectivity,br/public:avm/ptn/alz/platform-connectivity:X.Y.Z,46d3xbcp.ptn.alz-platformconnectivity,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-platformconnectivity-module-owners-bicep,@Azure/avm-ptn-alz-platformconnectivity-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Platform Connectivity,,
Azure Landing Zones (ALZ) - Platform Identity,,avm/ptn/alz/platform-identity,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/platform-identity,br/public:avm/ptn/alz/platform-identity:X.Y.Z,46d3xbcp.ptn.alz-platformidentity,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-platformidentity-module-owners-bicep,@Azure/avm-ptn-alz-platformidentity-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Platform Identity,,
Azure Landing Zones (ALZ) - Platform Management,,avm/ptn/alz/platform-management,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/platform-management,br/public:avm/ptn/alz/platform-management:X.Y.Z,46d3xbcp.ptn.alz-platformmanagement,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-platformmanagement-module-owners-bicep,@Azure/avm-ptn-alz-platformmanagement-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Platform Management,,
Azure Landing Zones (ALZ) - Sandbox,,avm/ptn/alz/sandbox,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/alz/sandbox,br/public:avm/ptn/alz/sandbox:X.Y.Z,46d3xbcp.ptn.alz-sandbox,jtracey93,Jack Tracey,oZakari,Zach Trocinski,@Azure/avm-ptn-alz-sandbox-module-owners-bicep,@Azure/avm-ptn-alz-sandbox-module-contributors-bicep,AVM Pattern Module for Azure Landing Zones (ALZ) - Sandbox,,
