ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Container Job Toolkit,,avm/ptn/app/container-job-toolkit,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/app/container-job-toolkit,br/public:avm/ptn/app/container-job-toolkit:X.Y.Z,46d3xbcp.ptn.app-containerjobtoolkit,ReneHezser,Rene Hezser,,,@Azure/avm-ptn-app-containerjobtoolkit-module-owners-bicep,@Azure/avm-ptn-app-containerjobtoolkit-module-contributors-bicep,AVM Pattern Module for Container Job Toolkit,,2024-12
Cosmos DB Account - Container App,,avm/ptn/app/cosmos-db-account-container-app,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/app/cosmos-db-account-container-app,br/public:avm/ptn/app/cosmos-db-account-container-app:X.Y.Z,46d3xbcp.ptn.app-cosmosdbacctcontapp,seesharprun,Sidney Andrews,,,@Azure/avm-ptn-app-cosmosdbaccountcontainerapp-module-owners-bicep,@Azure/avm-ptn-app-cosmosdbaccountcontainerapp-module-contributors-bicep,AVM Pattern Module for Cosmos DB Account - Container App,,
Workload - IaaS VM Cosmos DB - Tier 4,,avm/ptn/app/iaas-vm-cosmosdb-tier4,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/app/iaas-vm-cosmosdb-tier4,br/public:avm/ptn/app/iaas-vm-cosmosdb-tier4:X.Y.Z,46d3xbcp.ptn.app-iaasvmcosmosdbt4,mikestiers,Mike Stiers,,,@Azure/avm-ptn-app-iaasvmcosmosdbtier4-module-owners-bicep,@Azure/avm-ptn-app-iaasvmcosmosdbtier4-module-contributors-bicep,AVM Pattern Module for Workload - IaaS VM Cosmos DB - Tier 4,,
MongoDB Cluster - Container App,,avm/ptn/app/mongodb-cluster-container-app,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/app/mongodb-cluster-container-app,br/public:avm/ptn/app/mongodb-cluster-container-app:X.Y.Z,46d3xbcp.ptn.app-mongodbclustcontapp,seesharprun,Sidney Andrews,,,@Azure/avm-ptn-app-mongodbclustercontainerapp-module-owners-bicep,@Azure/avm-ptn-app-mongodbclustercontainerapp-module-contributors-bicep,AVM Pattern Module for MongoDB Cluster - Container App,,
Workload - PaaS ASE Cosmos DB - Tier 4,,avm/ptn/app/paas-ase-cosmosdb-tier4,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/app/paas-ase-cosmosdb-tier4,br/public:avm/ptn/app/paas-ase-cosmosdb-tier4:X.Y.Z,46d3xbcp.ptn.app-paasasecosmosdbt4,mikestiers,Mike Stiers,,,@Azure/avm-ptn-app-paasasecosmosdbtier4-module-owners-bicep,@Azure/avm-ptn-app-paasasecosmosdbtier4-module-contributors-bicep,AVM Pattern Module for Workload - PaaS ASE Cosmos DB - Tier 4,,
App Service LZA - Hosting Environment,,avm/ptn/app-service-lza/hosting-environment,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/app-service-lza/hosting-environment,br/public:avm/ptn/app-service-lza/hosting-environment:X.Y.Z,46d3xbcp.ptn.appsvclza-hostingenvironment,MikeTB-Microsoft,Michael Baker,,,@Azure/avm-ptn-appservicelza-hostingenvironment-module-owners-bicep,@Azure/avm-ptn-appservicelza-hostingenvironment-module-contributors-bicep,AVM Pattern Module for App Service LZA - Hosting Environment,,2025-04
Authorization - PIM Role Assignment,,avm/ptn/authorization/pim-role-assignment,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/authorization/pim-role-assignment,br/public:avm/ptn/authorization/pim-role-assignment:X.Y.Z,46d3xbcp.ptn.authorization-pimroleassignment,sebassem,Seif Bassem,,,@Azure/avm-ptn-authorization-pimroleassignment-module-owners-bicep,@Azure/avm-ptn-authorization-pimroleassignment-module-contributors-bicep,AVM Pattern Module for Authorization - PIM Role Assignment,,2025-02
Authorization - Policy Assignment,,avm/ptn/authorization/policy-assignment,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/authorization/policy-assignment,br/public:avm/ptn/authorization/policy-assignment:X.Y.Z,46d3xbcp.ptn.authorization-policyassignment,arnoldna,Nate Arnold,,,@Azure/avm-ptn-authorization-policyassignment-module-owners-bicep,@Azure/avm-ptn-authorization-policyassignment-module-contributors-bicep,AVM Pattern Module for Authorization - Policy Assignment,,2024-04
Authorization - Policy Exemption,,avm/ptn/authorization/policy-exemption,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/authorization/policy-exemption,br/public:avm/ptn/authorization/policy-exemption:X.Y.Z,46d3xbcp.ptn.authorization-policyexemption,oZakari,Zach Trocinski,,,@Azure/avm-ptn-authorization-policyexemption-module-owners-bicep,@Azure/avm-ptn-authorization-policyexemption-module-contributors-bicep,AVM Pattern Module for Authorization - Policy Exemption,,2024-12
Authorization - Resource Role Assignment,,avm/ptn/authorization/resource-role-assignment,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/authorization/resource-role-assignment,br/public:avm/ptn/authorization/resource-role-assignment:X.Y.Z,46d3xbcp.ptn.authorization-resourceroleassignment,peterbud,Peter Budai,,,@Azure/avm-ptn-authorization-resourceroleassignment-module-owners-bicep,@Azure/avm-ptn-authorization-resourceroleassignment-module-contributors-bicep,AVM Pattern Module for Authorization - Resource Role Assignment,,2024-05
Authorization - Role Assignment,,avm/ptn/authorization/role-assignment,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/authorization/role-assignment,br/public:avm/ptn/authorization/role-assignment:X.Y.Z,46d3xbcp.ptn.authorization-roleassignment,jtracey93,Jack Tracey,,,@Azure/avm-ptn-authorization-roleassignment-module-owners-bicep,@Azure/avm-ptn-authorization-roleassignment-module-contributors-bicep,AVM Pattern Module for Authorization - Role Assignment,,2024-04
Authorization - Role Definition,,avm/ptn/authorization/role-definition,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/authorization/role-definition,br/public:avm/ptn/authorization/role-definition:X.Y.Z,46d3xbcp.ptn.authorization-roledefinition,jtracey93,Jack Tracey,,,@Azure/avm-ptn-authorization-roledefinition-module-owners-bicep,@Azure/avm-ptn-authorization-roledefinition-module-contributors-bicep,AVM Pattern Module for Authorization - Role Definition,,2024-12
Azure Virtual Desktop (AVD) LZA - Insights,,avm/ptn/avd-lza/insights,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/avd-lza/insights,br/public:avm/ptn/avd-lza/insights:X.Y.Z,46d3xbcp.ptn.avdlza-insights,,,,,@Azure/avm-ptn-avdlza-insights-module-owners-bicep,@Azure/avm-ptn-avdlza-insights-module-contributors-bicep,AVM Pattern Module for Azure Virtual Desktop (AVD) LZA - Insights,,
Azure Virtual Desktop (AVD) LZA - Management Plane,,avm/ptn/avd-lza/management-plane,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/avd-lza/management-plane,br/public:avm/ptn/avd-lza/management-plane:X.Y.Z,46d3xbcp.ptn.avdlza-managementplane,,,,,@Azure/avm-ptn-avdlza-managementplane-module-owners-bicep,@Azure/avm-ptn-avdlza-managementplane-module-contributors-bicep,AVM Pattern Module for Azure Virtual Desktop (AVD) LZA - Management Plane,,
Azure Virtual Desktop (AVD) LZA - Networking,,avm/ptn/avd-lza/networking,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/avd-lza/networking,br/public:avm/ptn/avd-lza/networking:X.Y.Z,46d3xbcp.ptn.avdlza-networking,,,,,@Azure/avm-ptn-avdlza-networking-module-owners-bicep,@Azure/avm-ptn-avdlza-networking-module-contributors-bicep,AVM Pattern Module for Azure Virtual Desktop (AVD) LZA - Networking,,
Azure Virtual Desktop (AVD) LZA - Session Hosts,,avm/ptn/avd-lza/session-hosts,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/avd-lza/session-hosts,br/public:avm/ptn/avd-lza/session-hosts:X.Y.Z,46d3xbcp.ptn.avdlza-sessionhosts,,,,,@Azure/avm-ptn-avdlza-sessionhosts-module-owners-bicep,@Azure/avm-ptn-avdlza-sessionhosts-module-contributors-bicep,AVM Pattern Module for Azure Virtual Desktop (AVD) LZA - Session Hosts,,
AZD - ACR Container App,Azure Developer CLI - ACR Container App,avm/ptn/azd/acr-container-app,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/acr-container-app,br/public:avm/ptn/azd/acr-container-app:X.Y.Z,46d3xbcp.ptn.azd-acrcontainerapp,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-acrcontainerapp-module-owners-bicep,@Azure/avm-ptn-azd-acrcontainerapp-module-contributors-bicep,AVM Pattern Module for AZD - ACR Container App,,2024-10
AZD - AKS,Azure Developer CLI - Azure Kubernetes Services,avm/ptn/azd/aks,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/aks,br/public:avm/ptn/azd/aks:X.Y.Z,46d3xbcp.ptn.azd-aks,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-aks-module-owners-bicep,@Azure/avm-ptn-azd-aks-module-contributors-bicep,AVM Pattern Module for AZD - AKS,,2024-10
AZD - AKS Automatic Cluster,Azure Developer CLI - Azure Kubernetes Services Automatic Cluster,avm/ptn/azd/aks-automatic-cluster,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/aks-automatic-cluster,br/public:avm/ptn/azd/aks-automatic-cluster:X.Y.Z,46d3xbcp.ptn.azd-aksautomaticcluster,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-aksautomaticcluster-module-owners-bicep,@Azure/avm-ptn-azd-aksautomaticcluster-module-contributors-bicep,AVM Pattern Module for AZD - AKS Automatic Cluster,,2024-12
AZD - APIM API,Azure Developer CLI - API Management,avm/ptn/azd/apim-api,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/apim-api,br/public:avm/ptn/azd/apim-api:X.Y.Z,46d3xbcp.ptn.azd-apimapi,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-apimapi-module-owners-bicep,@Azure/avm-ptn-azd-apimapi-module-contributors-bicep,AVM Pattern Module for AZD - APIM API,,2024-09
AZD - Container Apps Stack,Azure Developer CLI - Container Apps Stack,avm/ptn/azd/container-apps-stack,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/container-apps-stack,br/public:avm/ptn/azd/container-apps-stack:X.Y.Z,46d3xbcp.ptn.azd-containerappsstack,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-containerappsstack-module-owners-bicep,@Azure/avm-ptn-azd-containerappsstack-module-contributors-bicep,AVM Pattern Module for AZD - Container Apps Stack,,2024-10
AZD - Container App Upsert,Azure Developer CLI - Container Apps Upsert,avm/ptn/azd/container-app-upsert,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/container-app-upsert,br/public:avm/ptn/azd/container-app-upsert:X.Y.Z,46d3xbcp.ptn.azd-containerappupsert,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-containerappupsert-module-owners-bicep,@Azure/avm-ptn-azd-containerappupsert-module-contributors-bicep,AVM Pattern Module for AZD - Container App Upsert,,2024-10
AZD - Insights Dashboard,Azure Developer CLI - Inishgts Dashboard,avm/ptn/azd/insights-dashboard,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/insights-dashboard,br/public:avm/ptn/azd/insights-dashboard:X.Y.Z,46d3xbcp.ptn.azd-insightsdashboard,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-insightsdashboard-module-owners-bicep,@Azure/avm-ptn-azd-insightsdashboard-module-contributors-bicep,AVM Pattern Module for AZD - Insights Dashboard,,2024-09
AZD - ML AI Environment,Azure Developer CLI - Machine Learning AI Environment,avm/ptn/azd/ml-ai-environment,Deprecated,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/ml-ai-environment,br/public:avm/ptn/azd/ml-ai-environment:X.Y.Z,46d3xbcp.ptn.azd-mlaienvironment,,,,,@Azure/avm-ptn-azd-mlaienvironment-module-owners-bicep,@Azure/avm-ptn-azd-mlaienvironment-module-contributors-bicep,AVM Pattern Module for AZD - ML AI Environment,,2024-10
AZD - ML Hub Dependencies,Azure Developer CLI - Machine Learning Hub Dependencies,avm/ptn/azd/ml-hub-dependencies,Deprecated,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/ml-hub-dependencies,br/public:avm/ptn/azd/ml-hub-dependencies:X.Y.Z,46d3xbcp.ptn.azd-mlhubdependencies,,,,,@Azure/avm-ptn-azd-mlhubdependencies-module-owners-bicep,@Azure/avm-ptn-azd-mlhubdependencies-module-contributors-bicep,AVM Pattern Module for AZD - ML Hub Dependencies,,2024-10
AZD - ML Project,Azure Developer CLI - Machine Learning Project,avm/ptn/azd/ml-project,Deprecated,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/ml-project,br/public:avm/ptn/azd/ml-project:X.Y.Z,46d3xbcp.ptn.azd-mlproject,,,,,@Azure/avm-ptn-azd-mlproject-module-owners-bicep,@Azure/avm-ptn-azd-mlproject-module-contributors-bicep,AVM Pattern Module for AZD - ML Project,,2024-10
AZD - Monitoring,Azure Developer CLI - Monitoring,avm/ptn/azd/monitoring,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/azd/monitoring,br/public:avm/ptn/azd/monitoring:X.Y.Z,46d3xbcp.ptn.azd-monitoring,JeffreyCA,Jeffrey Chen,,,@Azure/avm-ptn-azd-monitoring-module-owners-bicep,@Azure/avm-ptn-azd-monitoring-module-contributors-bicep,AVM Pattern Module for AZD - Monitoring,,2024-10
Private Analytical Workspace,"Data Analytics, Data Lake, Databricks, Database",avm/ptn/data/private-analytical-workspace,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/data/private-analytical-workspace,br/public:avm/ptn/data/private-analytical-workspace:X.Y.Z,46d3xbcp.ptn.data-privateanalyticalworkspace,jbinko,Jiri Binko,,,@Azure/avm-ptn-data-privateanalyticalworkspace-module-owners-bicep,@Azure/avm-ptn-data-privateanalyticalworkspace-module-contributors-bicep,AVM Pattern Module for Private Analytical Workspace,,2024-10
Deployment Script - Create Key Vault SSH Key Pair,,avm/ptn/deployment-script/create-kv-ssh-key-pair,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/deployment-script/create-kv-ssh-key-pair,br/public:avm/ptn/deployment-script/create-kv-ssh-key-pair:X.Y.Z,46d3xbcp.ptn.deploymentscript-createkvsshkeypair,vlahane,Vishal Lahane,,,@Azure/avm-ptn-deploymentscript-createkvsshkeypair-module-owners-bicep,@Azure/avm-ptn-deploymentscript-createkvsshkeypair-module-contributors-bicep,AVM Pattern Module for Deployment Script - Create Key Vault SSH Key Pair,,
Deployment Script - Import Container Image to ACR,,avm/ptn/deployment-script/import-image-to-acr,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/deployment-script/import-image-to-acr,br/public:avm/ptn/deployment-script/import-image-to-acr:X.Y.Z,46d3xbcp.ptn.deploymentscript-importimagetoacr,ReneHezser,Rene Hezser,,,@Azure/avm-ptn-deploymentscript-importimagetoacr-module-owners-bicep,@Azure/avm-ptn-deploymentscript-importimagetoacr-module-contributors-bicep,AVM Pattern Module for Deployment Script - Import Container Image to ACR,,2024-07
Deployment Script - Private Script,,avm/ptn/deployment-script/private,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/deployment-script/private,br/public:avm/ptn/deployment-script/private:X.Y.Z,46d3xbcp.ptn.deploymentscript-private,sebassem,Seif Bassem,,,@Azure/avm-ptn-deploymentscript-private-module-owners-bicep,@Azure/avm-ptn-deploymentscript-private-module-contributors-bicep,AVM Pattern Module for Deployment Script - Private Script,,
Dev-Box,,avm/ptn/dev-center/dev-box,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/dev-center/dev-box,br/public:avm/ptn/dev-center/dev-box:X.Y.Z,46d3xbcp.ptn.devcenter-devbox,timfurnival-MSFT,Tim Furnival,,,@Azure/avm-ptn-devcenter-devbox-module-owners-bicep,@Azure/avm-ptn-devcenter-devbox-module-contributors-bicep,AVM Pattern Module for Dev-Box,,
Azure DevOps and GitHub CI/CD Agents and Runners,,avm/ptn/dev-ops/cicd-agents-and-runners,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/dev-ops/cicd-agents-and-runners,br/public:avm/ptn/dev-ops/cicd-agents-and-runners:X.Y.Z,46d3xbcp.ptn.devops-cicdagentsandrunners,sebassem,Seif Bassem,,,@Azure/avm-ptn-devops-cicdagentsandrunners-module-owners-bicep,@Azure/avm-ptn-devops-cicdagentsandrunners-module-contributors-bicep,AVM Pattern Module for Azure DevOps and GitHub CI/CD Agents and Runners,,2024-09
FinOps Toolkit - FinOps Hub,,avm/ptn/finops-toolkit/finops-hub,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/finops-toolkit/finops-hub,br/public:avm/ptn/finops-toolkit/finops-hub:X.Y.Z,46d3xbcp.ptn.finopstoolkit-finopshub,arthurclares,Arthur Clares,,,@Azure/avm-ptn-finopstoolkit-finopshub-module-owners-bicep,@Azure/avm-ptn-finopstoolkit-finopshub-module-contributors-bicep,AVM Pattern Module for FinOps Toolkit - FinOps Hub,,2024-05
Landing Zone Subscription Vending,,avm/ptn/lz/sub-vending,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/lz/sub-vending,br/public:avm/ptn/lz/sub-vending:X.Y.Z,46d3xbcp.ptn.lz-subvending,jtracey93,Jack Tracey,sebassem,Seif Bassem,@Azure/avm-ptn-lz-subvending-module-owners-bicep,@Azure/avm-ptn-lz-subvending-module-contributors-bicep,AVM Pattern Module for Landing Zone Subscription Vending,,2024-06
LZA Shared - Data Services,Landing Zone Accelerators - Shared - Data Services,avm/ptn/lza-shared/data-services,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/lza-shared/data-services,br/public:avm/ptn/lza-shared/data-services:X.Y.Z,46d3xbcp.ptn.lzashared-dataservices,kpantos,Konstantinos Pantos,,,@Azure/avm-ptn-lzashared-dataservices-module-owners-bicep,@Azure/avm-ptn-lzashared-dataservices-module-contributors-bicep,AVM Pattern Module for LZA Shared - Data Services,,
Azure Update Manager,,avm/ptn/maintenance/azure-update-manager,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/maintenance/azure-update-manager,br/public:avm/ptn/maintenance/azure-update-manager:X.Y.Z,46d3xbcp.ptn.maintenance-azureupdatemanager,akhilthomas011,Akhil Thomas,,,@Azure/avm-ptn-maintenance-azureupdatemanager-module-owners-bicep,@Azure/avm-ptn-maintenance-azureupdatemanager-module-contributors-bicep,AVM Pattern Module for Azure Update Manager,,
